"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AT-1","Policy and Procedures","false","","Low","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] awareness and training policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and

    c. Review and update the current awareness and training:

        1. Policy [FedRAMP Assignment: at least every 3 years] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least every 3 years
at least annually
significant changes"
"AT-2","Literacy Training and Awareness","false","","Low","L,M,H","a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors):

        1. As part of initial training for new users and [FedRAMP Assignment: at least annually] thereafter; and

        2. When required by system changes or following [Assignment: organization-defined events];

    b. Employ the following techniques to increase the security and privacy awareness of system users [Assignment: organization-defined awareness techniques];

    c. Update literacy training and awareness content [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

    d. Incorporate lessons learned from internal or external security or privacy incidents into literacy training and awareness techniques.","at least annually
at least annually"
"AT-2(2)","Insider Threat","true","AT-2","Low","L,M,H","Provide literacy training on recognizing and reporting potential indicators of insider threat.",""
"AT-3","Role-based Training","false","","Low","L,M,H","a. Provide role-based security and privacy training to personnel with the following roles and responsibilities [Assignment: organization-defined roles and responsibilities]:

        1. Before authorizing access to the system, information, or performing assigned duties, and [FedRAMP Assignment: at least annually] thereafter; and

        2. When required by system changes;

    b. Update role-based training content [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

    c. Incorporate lessons learned from internal or external security or privacy incidents into role-based training.","at least annually
at least annually"
"AT-4","Training Records","false","","Low","L,M,H","a. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and

    b. Retain individual training records for [FedRAMP Assignment: at least one (1) year or 1 year after completion of a specific training program].","at least one (1) year or 1 year after completion of a specific training program"
"AU-1","Policy and Procedures","false","","Low","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] audit and accountability policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures; and

    c. Review and update the current audit and accountability:

        1. Policy [FedRAMP Assignment: at least every 3 years] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least every 3 years
at least annually
significant changes"
"AU-2","Event Logging","false","","Low","L,M,H","a. Identify the types of events that the system is capable of logging in support of the audit function: [FedRAMP Assignment: successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes];

    b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged;

    c. Specify the following event types for logging within the system: [FedRAMP Assignment: organization-defined subset of the auditable events defined in AU-2a to be audited continually for each identified event.];

    d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and

    e. Review and update the event types selected for logging [FedRAMP Assignment: annually and whenever there is a change in the threat environment].

__ AU-2 Additional FedRAMP Requirements and Guidance:__

__ (e) Guidance:__ Annually or whenever changes in the threat environment are communicated to the service provider by the JAB/AO.

__ Requirement:__ Coordination between service provider and consumer shall be documented and accepted by the JAB/AO.","successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes
organization-defined subset of the auditable events defined in AU-2a to be audited continually for each identified event.
annually and whenever there is a change in the threat environment"
"AU-3","Content of Audit Records","false","","Low","L,M,H","Ensure that audit records contain information that establishes the following:

    a. What type of event occurred;

    b. When the event occurred;

    c. Where the event occurred;

    d. Source of the event;

    e. Outcome of the event; and

    f. Identity of any individuals, subjects, or objects/entities associated with the event.",""
"AU-4","Audit Log Storage Capacity","false","","Low","L,M,H","Allocate audit log storage capacity to accommodate [Assignment: organization-defined audit log retention requirements].",""
"AU-5","Response to Audit Logging Process Failures","false","","Low","L,M,H","a. Alert [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] in the event of an audit logging process failure; and

    b. Take the following additional actions: [FedRAMP Assignment: overwrite oldest record].","overwrite oldest record"
"AU-6","Audit Record Review, Analysis, and Reporting","false","","Low","L,M,H","a. Review and analyze system audit records [FedRAMP Assignment: at least weekly] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity;

    b. Report findings to [Assignment: organization-defined personnel or roles]; and

    c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.

__ AU-6 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ Coordination between service provider and consumer shall be documented and accepted by the JAB/AO. In multi-tenant environments, capability and means for providing review, analysis, and reporting to consumer for data pertaining to consumer shall be documented.","at least weekly"
"AU-8","Time Stamps","false","","Low","L,M,H","a. Use internal system clocks to generate time stamps for audit records; and

    b. Record time stamps for audit records that meet [FedRAMP Assignment: one second granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp.","one second granularity of time measurement"
"AU-9","Protection of Audit Information","false","","Low","L,M,H","a. Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and

    b. Alert [Assignment: organization-defined personnel or roles] upon detection of unauthorized access, modification, or deletion of audit information.",""
"AU-11","Audit Record Retention","false","","Low","L,M,H","Retain audit records for [FedRAMP Assignment: a time period in compliance with M-21-31] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.

__ AU-11 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ The service provider is encouraged to align with M-21-31 where possible.

__ Requirement:__ The service provider retains audit records on-line for at least ninety days and further preserves audit records off-line for a period that is in accordance with NARA requirements.

__ Requirement:__ The service provider must support Agency requirements to comply with M-21-31 (<https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf>).","a time period in compliance with M-21-31"
"AU-12","Audit Record Generation","false","","Low","L,M,H","a. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [FedRAMP Assignment: all information system and network components where audit capability is deployed/available];

    b. Allow [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system; and

    c. Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.","all information system and network components where audit capability is deployed/available"
"CA-1","Policy and Procedures","false","","Low","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] assessment, authorization, and monitoring policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and the associated assessment, authorization, and monitoring controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the assessment, authorization, and monitoring policy and procedures; and

    c. Review and update the current assessment, authorization, and monitoring:

        1. Policy [FedRAMP Assignment: at least every 3 years] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least every 3 years
at least annually
significant changes"
"CA-2","Control Assessments","false","","Low","L,M,H","a. Select the appropriate assessor or assessment team for the type of assessment to be conducted;

    b. Develop a control assessment plan that describes the scope of the assessment including:

        1. Controls and control enhancements under assessment;

        2. Assessment procedures to be used to determine control effectiveness; and

        3. Assessment environment, assessment team, and assessment roles and responsibilities;

    c. Ensure the control assessment plan is reviewed and approved by the authorizing official or designated representative prior to conducting the assessment;

    d. Assess the controls in the system and its environment of operation [FedRAMP Assignment: at least annually] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy; 

    e. Produce a control assessment report that document the results of the assessment; and

    f. Provide the results of the control assessment to [FedRAMP Assignment: individuals or roles to include FedRAMP PMO].

__ CA-2 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Reference FedRAMP Annual Assessment Guidance.","at least annually
individuals or roles to include FedRAMP PMO"
"CA-2(1)","Independent Assessors","true","CA-2","Low","L,M,H","Employ independent assessors or assessment teams to conduct control assessments.",""
"CA-3","Information Exchange","false","","Low","L,M,H","a. Approve and manage the exchange of information between the system and other systems using [Selection (one-or-more): interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service level agreements; user agreements; nondisclosure agreements, [Assignment: organization-defined type of agreement]];

    b. Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated; and

    c. Review and update the agreements [FedRAMP Assignment: at least annually and on input from JAB/AO].","at least annually and on input from JAB/AO"
"CA-5","Plan of Action and Milestones","false","","Low","L,M,H","a. Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and

    b. Update existing plan of action and milestones [FedRAMP Assignment: at least monthly] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities.

__ CA-5 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ POA&Ms must be provided at least monthly.

__ Guidance:__ Reference FedRAMP-POAM-Template.","at least monthly"
"CA-6","Authorization","false","","Low","L,M,H","a. Assign a senior official as the authorizing official for the system;

    b. Assign a senior official as the authorizing official for common controls available for inheritance by organizational systems;

    c. Ensure that the authorizing official for the system, before commencing operations:

        1. Accepts the use of common controls inherited by the system; and

        2. Authorizes the system to operate;

    d. Ensure that the authorizing official for common controls authorizes the use of those controls for inheritance by organizational systems;

    e. Update the authorizations [FedRAMP Assignment: in accordance with OMB A-130 requirements or when a significant change occurs].

__ CA-6 Additional FedRAMP Requirements and Guidance:__

__ (e) Guidance:__ Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F and according to FedRAMP Significant Change Policies and Procedures. The service provider describes the types of changes to the information system or the environment of operations that would impact the risk posture. The types of changes are approved and accepted by the JAB/AO.","in accordance with OMB A-130 requirements or when a significant change occurs"
"CA-7","Continuous Monitoring","false","","Low","L,M,H","Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes:

    a. Establishing the following system-level metrics to be monitored: [Assignment: organization-defined system-level metrics];

    b. Establishing [Assignment: organization-defined frequencies] for monitoring and [Assignment: organization-defined frequencies] for assessment of control effectiveness;

    c. Ongoing control assessments in accordance with the continuous monitoring strategy;

    d. Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;

    e. Correlation and analysis of information generated by control assessments and monitoring;

    f. Response actions to address results of the analysis of control assessment and monitoring information; and

    g. Reporting the security and privacy status of the system to [FedRAMP Assignment: to include JAB/AO] [Assignment: organization-defined frequency].

__ CA-7 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ FedRAMP does not provide a template for the Continuous Monitoring Plan. CSPs should reference the FedRAMP Continuous Monitoring Strategy Guide when developing the Continuous Monitoring Plan.

__ Requirement:__ Operating System, Database, Web Application, Container, and Service Configuration Scans: at least monthly. All scans performed by Independent Assessor: at least annually.

__ Requirement:__ CSOs with more than one agency ATO must implement a collaborative Continuous Monitoring (ConMon) approach described in the FedRAMP Guide for Multi-Agency Continuous Monitoring. This requirement applies to CSOs authorized via the Agency path as each agency customer is responsible for performing ConMon oversight. It does not apply to CSOs authorized via the JAB path because the JAB performs ConMon oversight.","to include JAB/AO"
"CA-7(4)","Risk Monitoring","true","CA-7","Low","L,M,H","Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following:

        (a)   Effectiveness monitoring;

        (b)   Compliance monitoring; and

        (c)   Change monitoring.",""
"CA-8","Penetration Testing","false","","Low","L,M,H","Conduct penetration testing [FedRAMP Assignment: at least annually] on [Assignment: organization-defined systems or system components].

__ CA-8 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Scope can be limited to public facing applications in alignment with M-22-09. Reference the FedRAMP Penetration Test Guidance.","at least annually"
"CA-9","Internal System Connections","false","","Low","L,M,H","a. Authorize internal connections of [Assignment: organization-defined system components or classes of components] to the system;

    b. Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated;

    c. Terminate internal system connections after [Assignment: organization-defined conditions]; and

    d. Review [Assignment: organization-defined frequency] the continued need for each internal connection.",""
"CM-1","Policy and Procedures","false","","Low","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] configuration management policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the configuration management policy and procedures; and

    c. Review and update the current configuration management:

        1. Policy [FedRAMP Assignment: at least every 3 years] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least every 3 years
at least annually
significant changes"
"CM-2","Baseline Configuration","false","","Low","L,M,H","a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and

    b. Review and update the baseline configuration of the system:

        1. [FedRAMP Assignment: at least annually and when a significant change occurs];

        2. When required due to [FedRAMP Assignment: to include when directed by the JAB]; and

        3. When system components are installed or upgraded.

__ CM-2 Additional FedRAMP Requirements and Guidance:__

__ (b) (1) Guidance:__ Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F.","at least annually and when a significant change occurs
to include when directed by the JAB"
"CM-4","Impact Analyses","false","","Low","L,M,H","Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.",""
"CM-5","Access Restrictions for Change","false","","Low","L,M,H","Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",""
"CM-6","Configuration Settings","false","","Low","L,M,H","a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations];

    b. Implement the configuration settings;

    c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and

    d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.

__ CM-6 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Compliance checks are used to evaluate configuration settings and provide general insight into the overall effectiveness of configuration management activities. CSPs and 3PAOs typically combine compliance check findings into a single CM-6 finding, which is acceptable. However, for initial assessments, annual assessments, and significant change requests, FedRAMP requires a clear understanding, on a per-control basis, where risks exist. Therefore, 3PAOs must also analyze compliance check findings as part of the controls assessment. Where a direct mapping exists, the 3PAO must document additional findings per control in the corresponding SAR Risk Exposure Table (RET), which are then documented in the CSP’s Plan of Action and Milestones (POA&M). This will likely result in the details of individual control findings overlapping with those in the combined CM-6 finding, which is acceptable.

__ __During monthly continuous monitoring, new findings from CSP compliance checks may be combined into a single CM-6 POA&M item. CSPs are not required to map the findings to specific controls because controls are only assessed during initial assessments, annual assessments, and significant change requests.

__ (a) Requirement 1:__ The service provider shall use the DoD STIGs or Center for Internet Security guidelines to establish configuration settings.

__ (a) Requirement 2:__ The service provider shall ensure that checklists for configuration settings are Security Content Automation Protocol (SCAP) validated or SCAP compatible (if validated checklists are not available).",""
"CM-7","Least Functionality","false","","Low","L,M,H","a. Configure the system to provide only [Assignment: organization-defined mission essential capabilities]; and

    b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].

__ CM-7 Additional FedRAMP Requirements and Guidance:__

__ (b) Requirement:__ The service provider shall use Security guidelines (See CM-6) to establish list of prohibited or restricted functions, ports, protocols, and/or services or establishes its own list of prohibited or restricted functions, ports, protocols, and/or services if STIGs or CIS is not available.",""
"CM-8","System Component Inventory","false","","Low","L,M,H","a. Develop and document an inventory of system components that:

        1. Accurately reflects the system;

        2. Includes all components within the system;

        3. Does not include duplicate accounting of components or components assigned to any other system;

        4. Is at the level of granularity deemed necessary for tracking and reporting; and

        5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and

    b. Review and update the system component inventory [FedRAMP Assignment: at least monthly].

__ CM-8 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ must be provided at least monthly or when there is a change.","at least monthly"
"CM-10","Software Usage Restrictions","false","","Low","L,M,H","a. Use software and associated documentation in accordance with contract agreements and copyright laws;

    b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and

    c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",""
"CM-11","User-installed Software","false","","Low","L,M,H","a. Establish [Assignment: organization-defined policies] governing the installation of software by users;

    b. Enforce software installation policies through the following methods: [Assignment: organization-defined methods]; and

    c. Monitor policy compliance [FedRAMP Assignment: Continuously (via CM-7 (5))].","Continuously (via CM-7 (5))"
"CP-1","Policy and Procedures","false","","Low","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] contingency planning policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and

    c. Review and update the current contingency planning:

        1. Policy [FedRAMP Assignment: at least every 3 years] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least every 3 years
at least annually
significant changes"
"CP-2","Contingency Plan","false","","Low","L,M,H","a. Develop a contingency plan for the system that:

        1. Identifies essential mission and business functions and associated contingency requirements;

        2. Provides recovery objectives, restoration priorities, and metrics;

        3. Addresses contingency roles, responsibilities, assigned individuals with contact information;

        4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;

        5. Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;

        6. Addresses the sharing of contingency information; and

        7. Is reviewed and approved by [Assignment: organization-defined personnel or roles];

    b. Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];

    c. Coordinate contingency planning activities with incident handling activities;

    d. Review the contingency plan for the system [FedRAMP Assignment: at least annually];

    e. Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;

    f. Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];

    g. Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and

    h. Protect the contingency plan from unauthorized disclosure and modification.

__ CP-2 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ For JAB authorizations the contingency lists include designated FedRAMP personnel.

__ Requirement:__ CSPs must use the FedRAMP Information System Contingency Plan (ISCP) Template (available on the fedramp.gov: <https://www.fedramp.gov/assets/resources/templates/SSP-Appendix-G-Information-System-Contingency-Plan-(ISCP)-Template.docx>).","at least annually"
"CP-3","Contingency Training","false","","Low","L,M,H","a. Provide contingency training to system users consistent with assigned roles and responsibilities:

        1. Within [FedRAMP Assignment: *See Additional Requirements] of assuming a contingency role or responsibility;

        2. When required by system changes; and

        3. [FedRAMP Assignment: at least annually] thereafter; and

    b. Review and update contingency training content [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events].

__ CP-3 Additional FedRAMP Requirements and Guidance:__

__ (a) Requirement:__ Privileged admins and engineers must take the basic contingency training within 10 days. Consideration must be given for those privileged admins and engineers with critical contingency-related roles, to gain enough system context and situational awareness to understand the full impact of contingency training as it applies to their respective level. Newly hired critical contingency personnel must take this more in-depth training within 60 days of hire date when the training will have more impact.","*See Additional Requirements
at least annually
at least annually"
"CP-4","Contingency Plan Testing","false","","Low","L,M,H","a. Test the contingency plan for the system [FedRAMP Assignment: at least every 3 years] using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [FedRAMP Assignment: classroom exercise/tabletop written tests].

    b. Review the contingency plan test results; and

    c. Initiate corrective actions, if needed.

__ CP-4 Additional FedRAMP Requirements and Guidance:__

__ (a) Requirement:__ The service provider develops test plans in accordance with NIST Special Publication 800-34 (as amended); plans are approved by the JAB/AO prior to initiating testing.

__ (b) Requirement:__ The service provider must include the Contingency Plan test results with the security package within the Contingency Plan-designated appendix (Appendix G, Contingency Plan Test Report).","at least every 3 years
classroom exercise/tabletop written tests"
